,Escola,CNPJ,Ano,Marca,Serial,Segmento,Série,Bimestre,Público,SKU,Nome,Cód Itens,Descrição Magento,Quantidade de alunos,% Desconto Volume,% Desconto Extra,% Desconto Total,Customer Group,Squad
9,CARRO,60.130.895/0001-00,2024,AZ,INF5AL1B,INFANTIL,5 ANOS,1º BIMESTRE,ALUNO,CARRO2024AZINF5AL1B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 1º BIMESTRE,8124003017239,EDUCACROSS - BASE - 5 anos - 1º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
10,CARRO,60.130.895/0001-00,2024,AZ,INF5AL1B,INFANTIL,5 ANOS,1º BIMESTRE,ALUNO,CARRO2024AZINF5AL1B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 1º BIMESTRE,8124003018380,BINÓCULO - MÓDULO DE COMUNICAÇÃO - BASE -5 anos - 1º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
11,CARRO,60.130.895/0001-00,2024,AZ,INF5AL1B,INFANTIL,5 ANOS,1º BIMESTRE,ALUNO,CARRO2024AZINF5AL1B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 1º BIMESTRE,1524001012101,AZ KIT INFANTIL GRUPO 5 ALUNO 1º BIMESTRE B2B,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
12,CARRO,60.130.895/0001-00,2024,AZ,INF5AL1B,INFANTIL,5 ANOS,1º BIMESTRE,ALUNO,CARRO2024AZINF5AL1B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 1º BIMESTRE,9780357650301,Look and See - Level 3 - Student Book ALL CAPS + Online Practice,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
6,CARRO,60.130.895/0001-00,2024,AZ,INF5AL2B,INFANTIL,5 ANOS,2º BIMESTRE,ALUNO,CARRO2024AZINF5AL2B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 2º BIMESTRE,8124003017246,EDUCACROSS - BASE - 5 anos - 2º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
7,CARRO,60.130.895/0001-00,2024,AZ,INF5AL2B,INFANTIL,5 ANOS,2º BIMESTRE,ALUNO,CARRO2024AZINF5AL2B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 2º BIMESTRE,1524001010527,AZ LIVRO MULTIDISCIPLINAR GRUPO 5 ALUNO 2º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
8,CARRO,60.130.895/0001-00,2024,AZ,INF5AL2B,INFANTIL,5 ANOS,2º BIMESTRE,ALUNO,CARRO2024AZINF5AL2B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 2º BIMESTRE,8124003018397,BINÓCULO - MÓDULO DE COMUNICAÇÃO - BASE -5 anos - 2º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
3,CARRO,60.130.895/0001-00,2024,AZ,INF5AL3B,INFANTIL,5 ANOS,3º BIMESTRE,ALUNO,CARRO2024AZINF5AL3B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 3º BIMESTRE,8124003017253,EDUCACROSS - BASE - 5 anos - 3º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
4,CARRO,60.130.895/0001-00,2024,AZ,INF5AL3B,INFANTIL,5 ANOS,3º BIMESTRE,ALUNO,CARRO2024AZINF5AL3B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 3º BIMESTRE,8124003018403,BINÓCULO - MÓDULO DE COMUNICAÇÃO - BASE -5 anos - 3º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
5,CARRO,60.130.895/0001-00,2024,AZ,INF5AL3B,INFANTIL,5 ANOS,3º BIMESTRE,ALUNO,CARRO2024AZINF5AL3B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 3º BIMESTRE,1524001010992,AZ LIVRO MULTIDISCIPLINAR GRUPO 5 ALUNO 3º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
0,CARRO,60.130.895/0001-00,2024,AZ,INF5AL4B,INFANTIL,5 ANOS,4º BIMESTRE,ALUNO,CARRO2024AZINF5AL4B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 4º BIMESTRE,8124003017260,EDUCACROSS - BASE - 5 anos - 4º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
1,CARRO,60.130.895/0001-00,2024,AZ,INF5AL4B,INFANTIL,5 ANOS,4º BIMESTRE,ALUNO,CARRO2024AZINF5AL4B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 4º BIMESTRE,8124003018410,BINÓCULO - MÓDULO DE COMUNICAÇÃO - BASE -5 anos - 4º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
2,CARRO,60.130.895/0001-00,2024,AZ,INF5AL4B,INFANTIL,5 ANOS,4º BIMESTRE,ALUNO,CARRO2024AZINF5AL4B,SOLUÇÃO AZ - CARRO - EI - 5 ANOS - 4º BIMESTRE,1524001011555,AZ LIVRO MULTIDISCIPLINAR GRUPO 5 ALUNO 4º BIMESTRE,1.0,0%,0.0725,0.0725,010-_CARRO,SP1
