,grupo_de_atributo,nome,sku,visibilidade,ano_produto,faturamento_produto,marca_produto,publico_produto,serie_produto,utilizacao_produto,cliente_produto,categorias,items,ativar_restricao,grupos_permissao
0,ALUNO,SOLUÇÃO AZ - JANDYRA - EM - 1ª série - 1º BIMESTRE,JANDYRAAZEM1AL1B,N,2024,MATERIAL,AZ,ALUNO,1ª série,1º BIMESTRE,B2B,AZ/ENSINO MÉDIO/1ª SÉRIE,0.0,S,0001-61_COLEGIO_JANDYRA
1,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EM - 1ª série - 1º BIMESTRE,JANDYRACONEXIAEM1AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,1ª série,1º BIMESTRE,B2B,CONEXIA/ENSINO MÉDIO/1ª SÉRIE,0.0,S,0001-61_COLEGIO_JANDYRA
8,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EFI - 1º ano - 1º BIMESTRE,JANDYRACONEXIAFUND11AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,1º ano,1º BIMESTRE,B2B,CONEXIA/FUNDAMENTAL 1/1° ANO,0.0,S,0001-61_COLEGIO_JANDYRA
13,ALUNO,SOLUÇÃO AZ - JANDYRA - EM - 2ª série - 1º BIMESTRE,JANDYRAAZEM2AL1B,N,2024,MATERIAL,AZ,ALUNO,2ª série,1º BIMESTRE,B2B,AZ/ENSINO MÉDIO/2ª SÉRIE,0.0,S,0001-61_COLEGIO_JANDYRA
14,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EM - 2ª série - 1º BIMESTRE,JANDYRACONEXIAEM2AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,2ª série,1º BIMESTRE,B2B,CONEXIA/ENSINO MÉDIO/2ª SÉRIE,0.0,S,0001-61_COLEGIO_JANDYRA
21,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EFI - 2º ano - 1º BIMESTRE,JANDYRACONEXIAFUND12AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,2º ano,1º BIMESTRE,B2B,CONEXIA/FUNDAMENTAL 1/2° ANO,0.0,S,0001-61_COLEGIO_JANDYRA
26,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EM - 3ª série - 1º BIMESTRE,JANDYRACONEXIAEM3AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,3ª série,1º BIMESTRE,B2B,CONEXIA/ENSINO MÉDIO/3ª SÉRIE,0.0,S,0001-61_COLEGIO_JANDYRA
33,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EFI - 3º ano - 1º BIMESTRE,JANDYRACONEXIAFUND13AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,3º ano,1º BIMESTRE,B2B,CONEXIA/FUNDAMENTAL 1/3° ANO,0.0,S,0001-61_COLEGIO_JANDYRA
38,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EFI - 4º ano - 1º BIMESTRE,JANDYRACONEXIAFUND14AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,4º ano,1º BIMESTRE,B2B,CONEXIA/FUNDAMENTAL 1/4° ANO,0.0,S,0001-61_COLEGIO_JANDYRA
43,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EFI - 5º ano - 1º BIMESTRE,JANDYRACONEXIAFUND15AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,5º ano,1º BIMESTRE,B2B,CONEXIA/FUNDAMENTAL 1/5° ANO,0.0,S,0001-61_COLEGIO_JANDYRA
51,ALUNO,SOLUÇÃO AZ - JANDYRA - EFII - 7º ano - 1º BIMESTRE,JANDYRAAZFUND27AL1B,N,2024,MATERIAL,AZ,ALUNO,7º ano,1º BIMESTRE,B2B,AZ/FUNDAMENTAL 2/7° ANO,0.0,S,0001-61_COLEGIO_JANDYRA
58,ALUNO,SOLUÇÃO AZ - JANDYRA - EFII - 9º ano - 1º BIMESTRE,JANDYRAAZFUND29AL1B,N,2024,MATERIAL,AZ,ALUNO,9º ano,1º BIMESTRE,B2B,AZ/FUNDAMENTAL 2/9° ANO,0.0,S,0001-61_COLEGIO_JANDYRA
61,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EI - Grupo 3 - 1º BIMESTRE,JANDYRACONEXIAINF3AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,3 ANOS,1º BIMESTRE,B2B,CONEXIA/INFANTIL/3 anos,0.0,S,0001-61_COLEGIO_JANDYRA
65,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EI - Grupo 4 - 1º BIMESTRE,JANDYRACONEXIAINF4AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,4 ANOS,1º BIMESTRE,B2B,CONEXIA/INFANTIL/4 anos,0.0,S,0001-61_COLEGIO_JANDYRA
66,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EI - Grupo 5 - 1º BIMESTRE,JANDYRACONEXIAINF5AL1B,N,2024,MATERIAL,CONEXIA,ALUNO,5 ANOS,1º BIMESTRE,B2B,CONEXIA/INFANTIL/5 anos,0.0,S,0001-61_COLEGIO_JANDYRA
2,ALUNO,SOLUÇÃO AZ - JANDYRA - EM - 1ª série - 2º BIMESTRE,JANDYRAAZEM1AL2B,N,2024,MATERIAL,AZ,ALUNO,1ª série,2º BIMESTRE,B2B,AZ/ENSINO MÉDIO/1ª SÉRIE,0.0,S,0001-61_COLEGIO_JANDYRA
3,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EM - 1ª série - 2º BIMESTRE,JANDYRACONEXIAEM1AL2B,N,2024,MATERIAL,CONEXIA,ALUNO,1ª série,2º BIMESTRE,B2B,CONEXIA/ENSINO MÉDIO/1ª SÉRIE,0.0,S,0001-61_COLEGIO_JANDYRA
9,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EFI - 1º ano - 2º BIMESTRE,JANDYRACONEXIAFUND11AL2B,N,2024,MATERIAL,CONEXIA,ALUNO,1º ano,2º BIMESTRE,B2B,CONEXIA/FUNDAMENTAL 1/1° ANO,0.0,S,0001-61_COLEGIO_JANDYRA
15,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EM - 2ª série - 2º BIMESTRE,JANDYRACONEXIAEM2AL2B,N,2024,MATERIAL,CONEXIA,ALUNO,2ª série,2º BIMESTRE,B2B,CONEXIA/ENSINO MÉDIO/2ª SÉRIE,0.0,S,0001-61_COLEGIO_JANDYRA
22,ALUNO,SOLUÇÃO CONEXIA - JANDYRA - EFI - 2º ano - 2º BIMESTRE,JANDYRACONEXIAFUND12AL2B,N,2024,MATERIAL,CONEXIA,ALUNO,2º ano,2º BIMESTRE,B2B,CONEXIA/FUNDAMENTAL 1/2° ANO,0.0,S,0001-61_COLEGIO_JANDYRA
