Tenant;School;Profile;Qtde;Product
------;------;-------;----;-------
(Concurso de Bolsa) SEB LAFAIETE;(Concurso de Bolsa) SEB LAFAIETE;Aluno;320;Plataforma AZ
(Concurso de Bolsa) SEB LAFAIETE;(Concurso de Bolsa) SEB LAFAIETE;Aluno;320;Redação AZ
8 DE MAIO COLEGIO;8 DE MAIO COLEGIO;Gestor;1;Conexia Store
AÇÃO COLÉGIO E CURSO;AÇÃO COLÉGIO E CURSO;Gestor;1;Conexia Store
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Aluno;14;AZ Cantalelê
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Aluno;185;Binóculo
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Aluno;185;Conexia Books
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Aluno;72;Educacross
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Aluno;138;LEX Aulas ao Vivo
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Aluno;185;Plataforma AZ
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Aluno;72;Redação AZ
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Aluno;185;Scules
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Coordenador;1;AZ Anos Iniciais
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Coordenador;1;AZ Cantalelê
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Coordenador;1;AZ Infantil
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Coordenador;1;Binóculo
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Coordenador;1;Conexia Books
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Coordenador;1;Educacross
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Coordenador;1;LEX Aulas ao Vivo
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Coordenador;1;Plataforma AZ
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Coordenador;1;Redação AZ
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Coordenador;1;Scules
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Gestor;6;AZ Anos Iniciais
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Gestor;6;AZ Cantalelê
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Gestor;6;AZ Infantil
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Gestor;6;Binóculo
ALDEIA DOS PANDAVAS;Aldeia dos Pandavas;Gestor;6;Conexia - Portal Financeiro
